scenario_index,ogc_fid,param_name,assigned_value
0,4136730,heating_day_setpoint,19.65606549581318
0,4136730,heating_night_setpoint,15.471775605724535
0,4136730,cooling_day_setpoint,25.417912762808353
0,4136730,cooling_night_setpoint,27.95627634740463
0,4136730,max_heating_supply_air_temp,47.26766384659373
0,4136730,min_cooling_supply_air_temp,13.899135686223339
1,4136730,heating_day_setpoint,19.59616418522812
1,4136730,heating_night_setpoint,15.269598516874067
1,4136730,cooling_day_setpoint,24.027873821027782
1,4136730,cooling_night_setpoint,27.86241753118335
1,4136730,max_heating_supply_air_temp,52.15321273224738
1,4136730,min_cooling_supply_air_temp,12.086859345488904
2,4136730,heating_day_setpoint,19.0869483830448
2,4136730,heating_night_setpoint,15.083456193512621
2,4136730,cooling_day_setpoint,24.84103138051859
2,4136730,cooling_night_setpoint,27.058222631875566
2,4136730,max_heating_supply_air_temp,53.75817114151535
2,4136730,min_cooling_supply_air_temp,13.422327358051954
