scenario_index,ogc_fid,param_name,assigned_value
0,4136730,heating_day_setpoint,19.221080800438997
0,4136730,heating_night_setpoint,15.32581466435292
0,4136730,cooling_day_setpoint,24.85344965141197
0,4136730,cooling_night_setpoint,26.073918788521777
0,4136730,max_heating_supply_air_temp,54.970587536484885
0,4136730,min_cooling_supply_air_temp,12.107151196857586
1,4136730,heating_day_setpoint,20.53908591139002
1,4136730,heating_night_setpoint,15.589825551275212
1,4136730,cooling_day_setpoint,25.498432815709467
1,4136730,cooling_night_setpoint,27.153981631802125
1,4136730,max_heating_supply_air_temp,50.70833261873873
1,4136730,min_cooling_supply_air_temp,13.7935579277266
2,4136730,heating_day_setpoint,19.287597428315035
2,4136730,heating_night_setpoint,15.496721933334962
2,4136730,cooling_day_setpoint,25.212737799916876
2,4136730,cooling_night_setpoint,26.15968908871203
2,4136730,max_heating_supply_air_temp,47.8764512179993
2,4136730,min_cooling_supply_air_temp,12.3172368061995
3,4136730,heating_day_setpoint,20.897302071296522
3,4136730,heating_night_setpoint,15.978137363854986
3,4136730,cooling_day_setpoint,24.631328460284973
3,4136730,cooling_night_setpoint,26.562315852705083
3,4136730,max_heating_supply_air_temp,49.1136310220776
3,4136730,min_cooling_supply_air_temp,12.813353142048216
4,4136730,heating_day_setpoint,20.435219889512886
4,4136730,heating_night_setpoint,15.703865692428247
4,4136730,cooling_day_setpoint,25.201844692374443
4,4136730,cooling_night_setpoint,26.539760536737532
4,4136730,max_heating_supply_air_temp,45.530571050298256
4,4136730,min_cooling_supply_air_temp,12.53409161862493
