Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Daily),Environment:Site Outdoor Air Dewpoint Temperature [C](Daily),Environment:Site Outdoor Air Wetbulb Temperature [C](Daily),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Daily),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Daily),Environment:Site Solar Azimuth Angle [deg](Daily),Environment:Site Solar Altitude Angle [deg](Daily),MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),Electricity:Facility [J](Hourly) 
 01/01  01:00:00,,,,,,,,,2891159.3269583597,0.0,1712339.9184327582 
 01/01  02:00:00,,,,,,,,,3086282.313790853,0.0,1712339.9184327582 
 01/01  03:00:00,,,,,,,,,3286452.896024052,0.0,1712339.9184327582 
 01/01  04:00:00,,,,,,,,,3491577.2253751485,0.0,4366798.154495369 
 01/01  05:00:00,,,,,,,,,3664697.0566574745,0.0,1712339.9184327582 
 01/01  06:00:00,,,,,,,,,3839403.1526228823,0.0,1712339.9184327582 
 01/01  07:00:00,,,,,,,,,4882447.771791173,0.0,4614360.850690072 
 01/01  08:00:00,,,,,,,,,17427403.27839008,0.0,4615035.166952469 
 01/01  09:00:00,,,,,,,,,15371414.805829465,0.0,4700674.570057427 
 01/01  10:00:00,,,,,,,,,13102792.847685982,0.0,3877910.1069172313 
 01/01  11:00:00,,,,,,,,,11838647.318038445,0.0,2585446.8268247545 
 01/01  12:00:00,,,,,,,,,11493408.80943364,0.0,1712339.9184327582 
 01/01  13:00:00,,,,,,,,,11427559.431481494,0.0,4441839.577968346 
 01/01  14:00:00,,,,,,,,,11555489.605475018,0.0,1712339.9184327582 
 01/01  15:00:00,,,,,,,,,11446207.219432563,0.0,4442248.114220178 
 01/01  16:00:00,,,,,,,,,11876741.561496034,0.0,1712339.9184327582 
 01/01  17:00:00,,,,,,,,,12714667.062174847,0.0,4097510.636012838 
 01/01  18:00:00,,,,,,,,,12827794.587439582,0.0,2083021.4586966797 
 01/01  19:00:00,,,,,,,,,12671633.425124375,0.0,4645261.708356071 
 01/01  20:00:00,,,,,,,,,1431662.697862009,0.0,4645194.852858141 
 01/01  21:00:00,,,,,,,,,3029701.569791639,0.0,4645708.13133888 
 01/01  22:00:00,,,,,,,,,3312499.199630366,0.0,1712339.9184327582 
 01/01  23:00:00,,,,,,,,,2665115.7897726465,0.0,4614629.475289794 
 01/01  24:00:00,2.891666666666666,-0.03749999999999998,1.854739388525906,17.307291666666668,26.854166666666668,171.9210012821981,-20.325946072972584,33574717.92026159,2801223.301588571,0.0,4614701.27943712 
 01/02  01:00:00,,,,,,,,,3282997.640967606,0.0,1712339.9184327582 
 01/02  02:00:00,,,,,,,,,3523918.613035334,0.0,1712339.9184327582 
 01/02  03:00:00,,,,,,,,,3628501.0538850436,0.0,4366615.950392624 
 01/02  04:00:00,,,,,,,,,3871837.250370085,0.0,1712339.9184327582 
 01/02  05:00:00,,,,,,,,,3884202.34904949,0.0,1712339.9184327582 
 01/02  06:00:00,,,,,,,,,3904569.6268986594,0.0,1712339.9184327582 
 01/02  07:00:00,,,,,,,,,4844476.855812388,0.0,4614989.541719347 
 01/02  08:00:00,,,,,,,,,15806136.813272072,0.0,4614311.171448792 
 01/02  09:00:00,,,,,,,,,14706809.819807421,0.0,4781362.141804999 
 01/02  10:00:00,,,,,,,,,12710582.930113317,0.0,4780809.24066912 
 01/02  11:00:00,,,,,,,,,10831903.671459392,0.0,1712339.9184327582 
 01/02  12:00:00,,,,,,,,,9195835.6173191,0.0,4441646.805221862 
 01/02  13:00:00,,,,,,,,,7982010.471361481,0.0,1712339.9184327582 
 01/02  14:00:00,,,,,,,,,7103826.958101245,0.0,1734598.5694739993 
 01/02  15:00:00,,,,,,,,,6520231.958383437,0.0,4420005.526505215 
 01/02  16:00:00,,,,,,,,,7615415.29195947,0.0,1712339.9184327582 
 01/02  17:00:00,,,,,,,,,9412735.78547954,0.0,4442212.047193889 
 01/02  18:00:00,,,,,,,,,10150169.427671824,0.0,4211814.069336353 
 01/02  19:00:00,,,,,,,,,10702291.236589972,0.0,2146049.400699782 
 01/02  20:00:00,,,,,,,,,616022.0580862453,0.0,4644995.061587965 
 01/02  21:00:00,,,,,,,,,2206257.931802148,0.0,4645329.904637494 
 01/02  22:00:00,,,,,,,,,2691946.572939138,0.0,4614983.054880795 
 01/02  23:00:00,,,,,,,,,2148495.4460833254,0.0,1712339.9184327582 
 01/02  24:00:00,3.686458333333334,0.859375,2.7411140405471186,16.630208333333332,62.854166666666664,171.8131188905313,-20.25473323294449,33650042.61486957,2515572.399295453,0.0,4614312.529663102 
 01/03  01:00:00,,,,,,,,,2776932.68159889,0.0,1712339.9184327582 
 01/03  02:00:00,,,,,,,,,2988974.466129468,0.0,4367005.237167931 
 01/03  03:00:00,,,,,,,,,3103930.9703448154,0.0,1712339.9184327582 
 01/03  04:00:00,,,,,,,,,3316276.2046452267,0.0,1712339.9184327582 
