ogc_fid,sub_key,eplus_object_type,eplus_object_name,param_name,param_value,param_min,param_max
4136730,dhw_top,,,default_heater_capacity_w,4223.210738148823,4000.0,5000.0
4136730,dhw_top,,,default_tank_volume_liters,277.5029318369119,250.0,350.0
4136730,dhw_top,,,dhw_daily_liters,45.0,,
4136730,dhw_top,,,dhw_fraction_schedule,MyDHW_0_UseFraction,,
4136730,dhw_top,,,dhw_heater_capacity_w,4223.210738148823,,
4136730,dhw_top,,,dhw_heater_fuel_type,Electricity,,
4136730,dhw_top,,,dhw_heater_thermal_eff,0.9,,
4136730,dhw_top,,,dhw_occupant_count,1.0,,
4136730,dhw_top,,,dhw_peak_flow_m3s,2.7459390168016543e-06,,
4136730,dhw_top,,,dhw_setpoint_schedule,MyDHW_0_Setpoint,,
4136730,dhw_top,,,dhw_tank_volume_m3,0.2775029318369119,,
4136730,dhw_top,,,dhw_waterheater_object_name,MyDHW_0_WaterHeater,,
4136730,dhw_top,,,liters_per_person_per_day,45.0,145.0,145.0
4136730,dhw_top,,,occupant_density_m2_per_person,30.0,127.0,233.0
4136730,dhw_top,,,peak_hours,2.8921795677048454,2.0,3.0
4136730,dhw_top,,,sched_afternoon,0.20297972194380703,0.2,0.3
4136730,dhw_top,,,sched_evening,0.6874551899214414,0.6,1.0
4136730,dhw_top,,,sched_morning,0.6173877665258832,0.6,0.8
4136730,dhw_top,,,sched_peak,0.9843843639370542,0.9,1.1
4136730,dhw_top,,,setpoint_c,59.472942428328025,58.0,60.0
4136730,dhw_top,,,usage_split_factor,0.6353398974845822,0.5,0.7
4136730,dhw_waterheater,WATERHEATER:MIXED,MyDHW_0_WaterHeater,Heater_Fuel_Type,Electricity,,
4136730,dhw_waterheater,WATERHEATER:MIXED,MyDHW_0_WaterHeater,Heater_Maximum_Capacity,4223.210738148823,,
4136730,dhw_waterheater,WATERHEATER:MIXED,MyDHW_0_WaterHeater,Heater_Thermal_Efficiency,0.9,,
4136730,dhw_waterheater,WATERHEATER:MIXED,MyDHW_0_WaterHeater,Name,MyDHW_0_WaterHeater,,
4136730,dhw_waterheater,WATERHEATER:MIXED,MyDHW_0_WaterHeater,Setpoint_Temperature_Schedule_Name,MyDHW_0_Setpoint,,
4136730,dhw_waterheater,WATERHEATER:MIXED,MyDHW_0_WaterHeater,Tank_Volume,0.2775029318369119,,
4136730,dhw_waterheater,WATERHEATER:MIXED,MyDHW_0_WaterHeater,Use_Flow_Rate_Fraction_Schedule_Name,MyDHW_0_UseFraction,,
4136730,dhw_waterheater,WATERHEATER:MIXED,MyDHW_0_WaterHeater,obj_type,WATERHEATER:MIXED,,
4136732,dhw_top,,,default_heater_capacity_w,4223.210738148823,4000.0,5000.0
4136732,dhw_top,,,default_tank_volume_liters,277.5029318369119,250.0,350.0
4136732,dhw_top,,,dhw_daily_liters,90.00000000000001,,
4136732,dhw_top,,,dhw_fraction_schedule,MyDHW_1_UseFraction,,
4136732,dhw_top,,,dhw_heater_capacity_w,4223.210738148823,,
4136732,dhw_top,,,dhw_heater_fuel_type,Electricity,,
4136732,dhw_top,,,dhw_heater_thermal_eff,0.9,,
4136732,dhw_top,,,dhw_occupant_count,2.0,,
4136732,dhw_top,,,dhw_peak_flow_m3s,5.4918780336033095e-06,,
4136732,dhw_top,,,dhw_setpoint_schedule,MyDHW_1_Setpoint,,
4136732,dhw_top,,,dhw_tank_volume_m3,0.2775029318369119,,
4136732,dhw_top,,,dhw_waterheater_object_name,MyDHW_1_WaterHeater,,
4136732,dhw_top,,,liters_per_person_per_day,45.00000000000001,55.0,65.0
4136732,dhw_top,,,occupant_density_m2_per_person,70.58823529411764,12.0,18.0
4136732,dhw_top,,,peak_hours,2.8921795677048454,2.0,3.0
4136732,dhw_top,,,sched_afternoon,0.20297972194380703,0.2,0.3
4136732,dhw_top,,,sched_evening,0.6874551899214414,0.6,1.0
4136732,dhw_top,,,sched_morning,0.6173877665258832,0.6,0.8
4136732,dhw_top,,,sched_peak,0.9843843639370542,0.9,1.1
4136732,dhw_top,,,setpoint_c,59.472942428328025,58.0,60.0
4136732,dhw_top,,,usage_split_factor,0.6353398974845822,0.5,0.7
4136732,dhw_waterheater,WATERHEATER:MIXED,MyDHW_1_WaterHeater,Heater_Fuel_Type,Electricity,,
4136732,dhw_waterheater,WATERHEATER:MIXED,MyDHW_1_WaterHeater,Heater_Maximum_Capacity,4223.210738148823,,
4136732,dhw_waterheater,WATERHEATER:MIXED,MyDHW_1_WaterHeater,Heater_Thermal_Efficiency,0.9,,
4136732,dhw_waterheater,WATERHEATER:MIXED,MyDHW_1_WaterHeater,Name,MyDHW_1_WaterHeater,,
4136732,dhw_waterheater,WATERHEATER:MIXED,MyDHW_1_WaterHeater,Setpoint_Temperature_Schedule_Name,MyDHW_1_Setpoint,,
4136732,dhw_waterheater,WATERHEATER:MIXED,MyDHW_1_WaterHeater,Tank_Volume,0.2775029318369119,,
4136732,dhw_waterheater,WATERHEATER:MIXED,MyDHW_1_WaterHeater,Use_Flow_Rate_Fraction_Schedule_Name,MyDHW_1_UseFraction,,
4136732,dhw_waterheater,WATERHEATER:MIXED,MyDHW_1_WaterHeater,obj_type,WATERHEATER:MIXED,,
