Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Daily),Environment:Site Outdoor Air Dewpoint Temperature [C](Daily),Environment:Site Outdoor Air Wetbulb Temperature [C](Daily),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Daily),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Daily),Environment:Site Solar Azimuth Angle [deg](Daily),Environment:Site Solar Altitude Angle [deg](Daily),MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily),SCENARIO_0_WATERHEATER:Water Heater Heating Energy [J](Daily),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),Electricity:Facility [J](Hourly) 
 01/01  01:00:00,,,,,,,,,,197285264.43897453,0.0,3307854.1251308587 
 01/01  02:00:00,,,,,,,,,,189478798.80502728,0.0,3307854.1251308587 
 01/01  03:00:00,,,,,,,,,,192473379.34035647,0.0,3307854.1251308587 
 01/01  04:00:00,,,,,,,,,,195049343.27714777,0.0,5962312.361193469 
 01/01  05:00:00,,,,,,,,,,196962763.5186007,0.0,3307854.1251308587 
 01/01  06:00:00,,,,,,,,,,200029501.23198196,0.0,3307854.1251308587 
 01/01  07:00:00,,,,,,,,,,203575686.79306132,0.0,6209875.057388863 
 01/01  08:00:00,,,,,,,,,,118887106.5333226,0.0,6210549.39746206 
 01/01  09:00:00,,,,,,,,,,128535632.00584425,0.0,6296341.963297431 
 01/01  10:00:00,,,,,,,,,,128503509.7993078,0.0,5473424.52982207 
 01/01  11:00:00,,,,,,,,,,132295214.53226784,0.0,4180824.879723852 
 01/01  12:00:00,,,,,,,,,,139861229.57762715,0.0,3307854.1251308587 
 01/01  13:00:00,,,,,,,,,,143663556.57696378,0.0,6037353.715242162 
 01/01  14:00:00,,,,,,,,,,147137252.72319135,0.0,3307854.1251308587 
 01/01  15:00:00,,,,,,,,,,148874586.29106605,0.0,6037762.329066383 
 01/01  16:00:00,,,,,,,,,,152678173.35307783,0.0,3307854.1251308587 
 01/01  17:00:00,,,,,,,,,,150554209.25063744,0.0,5693161.047084433 
