Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Daily),Environment:Site Outdoor Air Dewpoint Temperature [C](Daily),Environment:Site Outdoor Air Wetbulb Temperature [C](Daily),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Daily),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Daily),Environment:Site Solar Azimuth Angle [deg](Daily),Environment:Site Solar Altitude Angle [deg](Daily),MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily),SCENARIO_4_WATERHEATER:Water Heater Heating Energy [J](Daily),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),Electricity:Facility [J](Hourly) 
 01/01  01:00:00,,,,,,,,,,197326615.4743697,0.0,3237382.5153654446 
 01/01  02:00:00,,,,,,,,,,189520309.8277874,0.0,3237382.5153654446 
 01/01  03:00:00,,,,,,,,,,192516013.5146281,0.0,3237382.5153654446 
 01/01  04:00:00,,,,,,,,,,195092719.37880313,0.0,5891840.751428055 
 01/01  05:00:00,,,,,,,,,,197006638.45824763,0.0,3237382.5153654446 
 01/01  06:00:00,,,,,,,,,,200073761.79067814,0.0,3237382.5153654446 
 01/01  07:00:00,,,,,,,,,,203620272.14355153,0.0,6139403.447623448 
 01/01  08:00:00,,,,,,,,,,118960647.31385286,0.0,6140077.78743838 
 01/01  09:00:00,,,,,,,,,,128609601.08208425,0.0,6225868.692030777 
 01/01  10:00:00,,,,,,,,,,128575933.83035572,0.0,5402952.917711592 
 01/01  11:00:00,,,,,,,,,,132365901.84931916,0.0,4110354.7467177566 
 01/01  12:00:00,,,,,,,,,,139930280.33970582,0.0,3237382.5153654446 
 01/01  13:00:00,,,,,,,,,,143731211.07826757,0.0,5966882.106229677 
 01/01  14:00:00,,,,,,,,,,147203903.90644526,0.0,3237382.5153654446 
 01/01  15:00:00,,,,,,,,,,148940560.6784742,0.0,5967290.719212638 
 01/01  16:00:00,,,,,,,,,,152743114.52407765,0.0,3237382.5153654446 
 01/01  17:00:00,,,,,,,,,,150617924.5593815,0.0,5622687.960010633 
 01/01  18:00:00,,,,,,,,,,144722218.2187431,0.0,3607919.1820491 
 01/01  19:00:00,,,,,,,,,,138334225.7530554,0.0,6170304.330011306 
 01/01  20:00:00,,,,,,,,,,219418126.4795423,0.0,6170352.540309029 
 01/01  21:00:00,,,,,,,,,,207930398.62725425,0.0,6170751.488309231 
 01/01  22:00:00,,,,,,,,,,202444047.43073788,0.0,3237382.5153654446 
 01/01  23:00:00,,,,,,,,,,207607839.12146762,0.0,6139671.401572954 
 01/01  24:00:00,2.891666666666666,-0.03749999999999998,1.854739388525906,17.307291666666668,26.854166666666668,171.9210012821981,-20.325946072972584,33574828.465959325,0.0,213610839.40707445,0.0,6139744.6220041225 
 01/02  01:00:00,,,,,,,,,,216595648.5128892,0.0,3237382.5153654446 
 01/02  02:00:00,,,,,,,,,,211993845.48796886,0.0,3237382.5153654446 
 01/02  03:00:00,,,,,,,,,,210819561.61735225,0.0,5891660.001832884 
 01/02  04:00:00,,,,,,,,,,215661305.0603909,0.0,3237382.5153654446 
 01/02  05:00:00,,,,,,,,,,207408804.84426636,0.0,3237382.5153654446 
 01/02  06:00:00,,,,,,,,,,201241096.45163283,0.0,3237382.5153654446 
 01/02  07:00:00,,,,,,,,,,197591888.36345828,0.0,6140032.020056505 
 01/02  08:00:00,,,,,,,,,,99885703.73161723,0.0,6139353.774671648 
 01/02  09:00:00,,,,,,,,,,97975284.11516525,0.0,6306404.059791873 
 01/02  10:00:00,,,,,,,,,,100107661.28408995,0.0,6305851.5856649745 
 01/02  11:00:00,,,,,,,,,,102569789.44993065,0.0,3237382.5153654446 
 01/02  12:00:00,,,,,,,,,,112816541.66239682,0.0,5966689.599480715 
 01/02  13:00:00,,,,,,,,,,116434717.35725136,0.0,3237382.5153654446 
 01/02  14:00:00,,,,,,,,,,117763724.06815371,0.0,3257754.430057122 
 01/02  15:00:00,,,,,,,,,,105878649.67588183,0.0,5946936.557190466 
 01/02  16:00:00,,,,,,,,,,101714383.37290601,0.0,3237382.5153654446 
 01/02  17:00:00,,,,,,,,,,106687837.0364903,0.0,5967254.531213707 
 01/02  18:00:00,,,,,,,,,,113100989.9567041,0.0,5735878.064507859 
 01/02  19:00:00,,,,,,,,,,128942736.40521158,0.0,3672070.0130082485 
 01/02  20:00:00,,,,,,,,,,222430492.18215585,0.0,6170136.21479691 
 01/02  21:00:00,,,,,,,,,,214591557.9358143,0.0,6170373.000005448 
 01/02  22:00:00,,,,,,,,,,210617089.46673447,0.0,6140025.474488046 
 01/02  23:00:00,,,,,,,,,,214188152.07432306,0.0,3237382.5153654446 
 01/02  24:00:00,3.686458333333334,0.859375,2.7411140405471186,16.630208333333332,62.854166666666664,171.8131188905313,-20.25473323294449,33650133.110568024,0.0,220279907.48835322,0.0,6139355.193235287 
 01/03  01:00:00,,,,,,,,,,231346679.06690586,0.0,3237382.5153654446 
 01/03  02:00:00,,,,,,,,,,238222993.80814523,0.0,5892047.669174961 
 01/03  03:00:00,,,,,,,,,,238904057.51136494,0.0,3237382.5153654446 
 01/03  04:00:00,,,,,,,,,,244853649.72720787,0.0,3237382.5153654446 
 01/03  05:00:00,,,,,,,,,,244887640.7226401,0.0,3237382.5153654446 
 01/03  06:00:00,,,,,,,,,,248761824.60409313,0.0,5891572.774772317 
 01/03  07:00:00,,,,,,,,,,255964651.2224453,0.0,3570523.468581154 
 01/03  08:00:00,,,,,,,,,,166547166.26487446,0.0,5805865.274499069 
 01/03  09:00:00,,,,,,,,,,172861745.5096384,0.0,6306576.6237610085 
 01/03  10:00:00,,,,,,,,,,168613537.15736252,0.0,6306429.946616868 
 01/03  11:00:00,,,,,,,,,,152946294.87278172,0.0,4853379.580419908 
 01/03  12:00:00,,,,,,,,,,143851914.32802156,0.0,4350696.961983721 
 01/03  13:00:00,,,,,,,,,,141601347.49433297,0.0,3237382.5153654446 
 01/03  14:00:00,,,,,,,,,,148281123.66496035,0.0,5967023.3127716035 
 01/03  15:00:00,,,,,,,,,,150532085.46441156,0.0,3237382.5153654446 
 01/03  16:00:00,,,,,,,,,,165068546.91958246,0.0,5967276.33484074 
 01/03  17:00:00,,,,,,,,,,182058464.85029152,0.0,3237382.5153654446 
 01/03  18:00:00,,,,,,,,,,193879966.92075294,0.0,6170454.428438097 
 01/03  19:00:00,,,,,,,,,,205669063.04307613,0.0,6170978.7212913 
 01/03  20:00:00,,,,,,,,,,298056515.47306216,0.0,3237382.5153654446 
 01/03  21:00:00,,,,,,,,,,286272684.496754,0.0,6170960.385780613 
 01/03  22:00:00,,,,,,,,,,276618587.387928,0.0,6139584.486799179 
 01/03  23:00:00,,,,,,,,,,265602577.8323413,0.0,6139856.041656142 
 01/03  24:00:00,1.1666666666666665,-0.6007504992247794,0.3890060654580482,14.333333333333334,122.921875,171.70635220439564,-20.176959693862347,33428239.45281451,0.0,255292107.0497019,0.0,3237382.5153654446 
 01/04  01:00:00,,,,,,,,,,291182878.3366919,0.0,5892044.916209001 
 01/04  02:00:00,,,,,,,,,,317641988.755929,0.0,3237382.5153654446 
 01/04  03:00:00,,,,,,,,,,321379800.0124905,0.0,3237382.5153654446 
 01/04  04:00:00,,,,,,,,,,326385389.64165044,0.0,4001083.31523274 
 01/04  05:00:00,,,,,,,,,,330947270.20906496,0.0,5127899.490696622 
 01/04  06:00:00,,,,,,,,,,334790257.0445615,0.0,3237382.5153654446 
 01/04  07:00:00,,,,,,,,,,340173980.7143253,0.0,6140004.65703766 
 01/04  08:00:00,,,,,,,,,,241868599.31164277,0.0,4515636.2885333905 
 01/04  09:00:00,,,,,,,,,,235417783.73245072,0.0,5401658.272611513 
 01/04  10:00:00,,,,,,,,,,228209815.14303395,0.0,5859846.867318335 
 01/04  11:00:00,,,,,,,,,,220744940.04735118,0.0,5967258.911342597 
