Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Daily),Environment:Site Outdoor Air Dewpoint Temperature [C](Daily),Environment:Site Outdoor Air Wetbulb Temperature [C](Daily),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Daily),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Daily),Environment:Site Solar Azimuth Angle [deg](Daily),Environment:Site Solar Altitude Angle [deg](Daily),MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily),SCENARIO_3_WATERHEATER:Water Heater Heating Energy [J](Daily),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),Electricity:Facility [J](Hourly) 
 01/01  01:00:00,,,,,,,,,,197236914.13738084,0.0,3389746.018465958 
 01/01  02:00:00,,,,,,,,,,189429501.53886795,0.0,3389746.018465958 
 01/01  03:00:00,,,,,,,,,,192422800.06736654,0.0,3389746.018465958 
 01/01  04:00:00,,,,,,,,,,194998093.89389366,0.0,6044204.254528569 
 01/01  05:00:00,,,,,,,,,,196911134.67067656,0.0,3389746.018465958 
 01/01  06:00:00,,,,,,,,,,199977459.67099077,0.0,3389746.018465958 
 01/01  07:00:00,,,,,,,,,,203523151.3959945,0.0,6291766.950723962 
 01/01  08:00:00,,,,,,,,,,118797540.12740864,0.0,6292441.290797159 
 01/01  09:00:00,,,,,,,,,,128449069.26092963,0.0,6378233.856632531 
 01/01  10:00:00,,,,,,,,,,128421644.24595264,0.0,5555316.42315717 
 01/01  11:00:00,,,,,,,,,,132216189.71733189,0.0,4262716.773058952 
 01/01  12:00:00,,,,,,,,,,139783830.3773762,0.0,3389746.018465958 
 01/01  13:00:00,,,,,,,,,,143587179.94362158,0.0,6119245.608577262 
 01/01  14:00:00,,,,,,,,,,147061603.8380106,0.0,3389746.018465958 
 01/01  15:00:00,,,,,,,,,,148799656.66891432,0.0,6119654.222401483 
 01/01  16:00:00,,,,,,,,,,152603468.89740586,0.0,3389746.018465958 
 01/01  17:00:00,,,,,,,,,,150479297.87900376,0.0,5775052.940419532 
 01/01  18:00:00,,,,,,,,,,144583999.6955176,0.0,3760281.096582477 
 01/01  19:00:00,,,,,,,,,,138196377.53437644,0.0,6322667.833382674 
 01/01  20:00:00,,,,,,,,,,219265494.48899126,0.0,6322716.042932196 
 01/01  21:00:00,,,,,,,,,,207810225.3868828,0.0,6323114.9901811965 
 01/01  22:00:00,,,,,,,,,,202327186.6474867,0.0,3389746.018465958 
 01/01  23:00:00,,,,,,,,,,207493486.85497126,0.0,6292034.905756509 
 01/01  24:00:00,2.891666666666666,-0.03749999999999998,1.854739388525906,17.307291666666668,26.854166666666668,171.9210012821981,-20.325946072972584,33574828.53243748,0.0,213498792.57729244,0.0,6292108.123899345 
 01/02  01:00:00,,,,,,,,,,216486012.10953057,0.0,3389746.018465958 
 01/02  02:00:00,,,,,,,,,,211884402.82839134,0.0,3389746.018465958 
 01/02  03:00:00,,,,,,,,,,210709735.966007,0.0,6044023.5025782455 
 01/02  04:00:00,,,,,,,,,,215551417.0069203,0.0,3389746.018465958 
 01/02  05:00:00,,,,,,,,,,207299091.0476907,0.0,3389746.018465958 
 01/02  06:00:00,,,,,,,,,,201131758.44628066,0.0,3389746.018465958 
 01/02  07:00:00,,,,,,,,,,197483118.52260837,0.0,6292395.523348669 
 01/02  08:00:00,,,,,,,,,,99784201.26938683,0.0,6291717.27776158 
 01/02  09:00:00,,,,,,,,,,97812831.7487351,0.0,6458767.5639911415 
 01/02  10:00:00,,,,,,,,,,99950768.01817402,0.0,6458215.089173025 
 01/02  11:00:00,,,,,,,,,,102416666.20565167,0.0,3389746.018465958 
 01/02  12:00:00,,,,,,,,,,112666181.67089432,0.0,6119053.102259804 
 01/02  13:00:00,,,,,,,,,,116286823.65647034,0.0,3389746.018465958 
 01/02  14:00:00,,,,,,,,,,117617534.81161916,0.0,3410120.987421613 
 01/02  15:00:00,,,,,,,,,,105733905.04772462,0.0,6099297.003277328 
 01/02  16:00:00,,,,,,,,,,101571133.66296497,0.0,3389746.018465958 
 01/02  17:00:00,,,,,,,,,,106546234.39198717,0.0,6119618.034496986 
 01/02  18:00:00,,,,,,,,,,112959806.12910071,0.0,5888243.151777305 
 01/02  19:00:00,,,,,,,,,,128801862.79484048,0.0,3824431.932888507 
 01/02  20:00:00,,,,,,,,,,222269285.47106633,0.0,6322499.7175594075 
 01/02  21:00:00,,,,,,,,,,214456963.63136968,0.0,6322736.5025653 
 01/02  22:00:00,,,,,,,,,,210485588.22170618,0.0,6292388.977780674 
 01/02  23:00:00,,,,,,,,,,214058689.92205858,0.0,3389746.018465958 
 01/02  24:00:00,3.686458333333334,0.859375,2.7411140405471186,16.630208333333332,62.854166666666664,171.8131188905313,-20.25473323294449,33650133.10753757,0.0,220151900.79961225,0.0,6291718.69626264 
 01/03  01:00:00,,,,,,,,,,231219712.17146924,0.0,3389746.018465958 
 01/03  02:00:00,,,,,,,,,,238096820.58752438,0.0,6044411.17245415 
 01/03  03:00:00,,,,,,,,,,238778526.72014093,0.0,3389746.018465958 
 01/03  04:00:00,,,,,,,,,,244728618.19431072,0.0,3389746.018465958 
 01/03  05:00:00,,,,,,,,,,244763000.3840621,0.0,3389746.018465958 
 01/03  06:00:00,,,,,,,,,,248637491.42697662,0.0,6043936.27620825 
 01/03  07:00:00,,,,,,,,,,255840244.35992098,0.0,3722888.6798977004 
 01/03  08:00:00,,,,,,,,,,166442200.12659213,0.0,5958227.069115723 
 01/03  09:00:00,,,,,,,,,,172701838.6280057,0.0,6458940.127061902 
 01/03  10:00:00,,,,,,,,,,168457096.0673438,0.0,6458793.449918096 
 01/03  11:00:00,,,,,,,,,,152794121.83544782,0.0,5005746.145500712 
 01/03  12:00:00,,,,,,,,,,143702140.5550437,0.0,4503057.403500501 
 01/03  13:00:00,,,,,,,,,,141453646.71655908,0.0,3389746.018465958 
 01/03  14:00:00,,,,,,,,,,148136151.98673502,0.0,6119386.813835572 
 01/03  15:00:00,,,,,,,,,,150387845.02877855,0.0,3389746.018465958 
 01/03  16:00:00,,,,,,,,,,164926262.51335555,0.0,6119639.838124521 
 01/03  17:00:00,,,,,,,,,,181918421.17095724,0.0,3389746.018465958 
