Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Daily),Environment:Site Outdoor Air Dewpoint Temperature [C](Daily),Environment:Site Outdoor Air Wetbulb Temperature [C](Daily),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Daily),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Daily),Environment:Site Solar Azimuth Angle [deg](Daily),Environment:Site Solar Altitude Angle [deg](Daily),MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily),SCENARIO_1_WATERHEATER:Water Heater Heating Energy [J](Daily),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),Electricity:Facility [J](Hourly) 
 01/01  01:00:00,,,,,,,,,,215833822.0744922,0.0,3189789.34720611 
 01/01  02:00:00,,,,,,,,,,207785871.85312635,0.0,3189789.34720611 
 01/01  03:00:00,,,,,,,,,,210759548.28585848,0.0,3189789.34720611 
 01/01  04:00:00,,,,,,,,,,213318447.32633978,0.0,5844247.583268721 
 01/01  05:00:00,,,,,,,,,,215218118.07583863,0.0,3189789.34720611 
 01/01  06:00:00,,,,,,,,,,218279845.275294,0.0,3189789.34720611 
 01/01  07:00:00,,,,,,,,,,221898390.04476595,0.0,6091810.279464114 
 01/01  08:00:00,,,,,,,,,,117179822.45055017,0.0,6092484.619055238 
 01/01  09:00:00,,,,,,,,,,127082047.68622121,0.0,6178274.083930401 
 01/01  10:00:00,,,,,,,,,,127291117.49432388,0.0,5355359.747519755 
 01/01  11:00:00,,,,,,,,,,131237128.84142436,0.0,4062762.8583929045 
 01/01  12:00:00,,,,,,,,,,138915462.99082172,0.0,3189789.34720611 
 01/01  13:00:00,,,,,,,,,,142803784.92773503,0.0,5919288.938722953 
 01/01  14:00:00,,,,,,,,,,146345977.8739153,0.0,3189789.34720611 
 01/01  15:00:00,,,,,,,,,,148139136.18038207,0.0,5919697.55097672 
 01/01  16:00:00,,,,,,,,,,151989962.57492816,0.0,3189789.34720611 
 01/01  17:00:00,,,,,,,,,,149907175.7863602,0.0,5575093.511540717 
 01/01  18:00:00,,,,,,,,,,144048351.47084746,0.0,3560327.390622591 
 01/01  19:00:00,,,,,,,,,,137691683.72618622,0.0,6122711.161616987 
 01/01  20:00:00,,,,,,,,,,239503868.77812886,0.0,6122759.374155959 
 01/01  21:00:00,,,,,,,,,,227470457.6760328,0.0,6123158.325312483 
 01/01  22:00:00,,,,,,,,,,221754378.6382711,0.0,3189789.34720611 
 01/01  23:00:00,,,,,,,,,,226743584.2892988,0.0,6092078.2288626935 
 01/01  24:00:00,2.891666666666666,-0.03749999999999998,1.854739388525906,17.307291666666668,26.854166666666668,171.9210012821981,-20.325946072972584,33574828.41383421,0.0,232698465.7021509,0.0,6092151.458909644 
 01/02  01:00:00,,,,,,,,,,235416128.4477787,0.0,3189789.34720611 
 01/02  02:00:00,,,,,,,,,,230597887.62213153,0.0,3189789.34720611 
