ogc_fid,param_name,assigned_value
4136730,infiltration_base_range,"(1.3, 1.4)"
4136730,infiltration_base,1.3639426798457883
4136730,year_factor_range,"(0.9, 1.1)"
4136730,year_factor,0.9050021510445334
4136730,fan_pressure_range,"(0.0, 0.0)"
4136730,fan_pressure,0.0
4136730,f_ctrl_range,"(0.9, 1.0)"
4136730,f_ctrl,0.9223210738148823
4136730,infiltration_schedule_name,AlwaysOnSched
4136730,ventilation_schedule_name,VentSched_DayNight
4136731,infiltration_base_range,"(0.5, 0.7)"
4136731,infiltration_base,0.6278853596915768
4136731,year_factor_range,"(0.9, 1.1)"
4136731,year_factor,0.9050021510445334
4136731,fan_pressure_range,"(100, 120)"
4136731,fan_pressure,105.50058636738238
4136731,f_ctrl_range,"(0.75, 0.85)"
4136731,f_ctrl,0.7723210738148822
4136731,hrv_eff_range,"(0.7, 0.8)"
4136731,hrv_eff,0.7736471214164012
4136731,infiltration_schedule_name,AlwaysOnSched
4136731,ventilation_schedule_name,VentSched_DayNight
