iteration,cost,infiltration,occupant_dens,heating_sp,cooling_sp
0,8.02588862160767,0.8300596150946521,27.602606880260822,22.080986341481633,26.280896636712058
1,38.4104843239555,0.77676364971079,30.935444742561938,21.381987740961485,24.26222032476154
2,9.431192910896936,0.7822913769748934,27.60790226426929,20.07726184776669,24.67156570603035
3,224.41070959177577,0.7262380206357514,39.8211937315245,19.349201234296864,24.590178672996114
4,227.9537141241996,1.2813461940001494,10.01750977668472,22.720519210218722,25.38918942375591
5,201.40151835678134,0.875144581760736,38.86212609409591,23.80194257301241,27.179609483639087
6,114.2423988897495,0.9017929790749926,35.42739994779977,18.70532192510453,26.49616381991726
7,117.89592974916073,1.0649217577021752,35.30088584925721,23.95932778488759,24.267123678630824
8,51.63597621541089,0.8402858190311339,17.857688710864746,21.675944618824488,26.40360717706136
9,9.66197367176131,0.7789943859457634,24.807558493344374,23.958560356319254,25.0741392125914
10,7.035378490594936,0.8212195310167172,22.73698892924864,21.871085099293776,24.92800943486109
11,77.67154814995665,0.733234095750507,33.80258400548777,21.121109718839165,25.621074485591148
12,68.34661969850555,0.8985992414684506,16.944477378393376,22.196958612834088,24.577866705147745
13,78.81906995025743,0.5501538318123826,16.190932866169383,20.06236301244335,25.53325518739592
14,79.27797375607524,1.0627570939287811,16.10480352817671,20.724431493681024,25.774111508839596
15,2.68860381978625,0.68000337460069,23.55840508222885,20.32640869524479,26.329065573729213
16,188.4993918438702,1.0617098132411598,38.713768459360686,21.29852707323716,25.437258487616024
17,2.9491827385097,0.7393591775858164,25.543689417094164,20.339142987602955,24.5197814041199
18,51.24129986130601,0.6151809139404103,32.11516114337666,20.270964176620218,26.05627274237223
19,12.737365779489815,0.725742142257456,27.51421239579308,18.486304632548435,25.74101813384378
20,3.630491772828842,0.6750553616314474,25.34309527006232,22.215848141839686,27.408506519027842
21,7.155320725485813,1.0702773760809459,25.199477780921608,18.42227529347628,26.664733249489288
22,6.467547698940414,0.8260227660151386,27.40101188773928,21.780178176350557,26.297555029991667
23,67.1487665796216,1.2965763861269526,16.892950408968254,20.086621815325906,26.658012894935595
24,4.764861137857634,1.1700607644674252,25.651144536752007,19.59602251776628,27.51551520711327
25,16.215301696521312,1.1694027586223914,28.629426434192627,20.0647393578528,24.5524934749017
26,50.997083726650686,0.7659481278953986,18.12046373374295,21.857020028749197,24.29219109563959
27,79.8794226816062,1.0450907096264905,16.39925230519788,22.760938910581565,27.668713459867245
28,90.47311631489788,0.5319793625355813,15.689122092442595,20.954579662627253,24.091291874379287
29,51.626006781542884,1.1138418983110583,18.26601370753164,23.427222300770403,25.414936807207383
30,144.7964043129873,0.5843060212139229,12.973920130658449,20.882323366317866,25.76273051007625
31,9.593975493215327,0.9448733575062871,24.447142521734644,18.681694824493785,27.97781991014061
32,136.98381031827122,0.7493296357967504,13.532689690056653,22.250731381949223,27.974227450243887
33,187.20722616015664,1.2616590986610277,38.662309778849675,20.39292671988643,26.221771043720842
34,210.9099981720438,0.7305905562644752,39.315042012855145,19.411871161634707,27.85437794835941
35,44.49091102468951,1.265013397963925,18.42052239630665,21.93571880518936,26.438840545197195
36,178.446246642592,0.7120376164629295,38.25551796503302,21.744792469376407,27.465416132439547
37,100.32019678484006,1.2891961613987797,15.018660849435618,21.362954238389126,26.640200058605576
38,98.6663403746671,0.79884036504084,15.105537831783924,21.055668168084868,26.867540523390645
39,40.50723367925182,0.6065554323832558,30.916366224684708,23.303243201959784,26.335865170900615
40,63.433645207539755,1.043581579905782,32.41922763432581,23.693070823023035,24.94384641756521
41,82.38046320990101,0.6330818884288609,16.10786123565863,22.67055830651061,26.669567824691576
42,129.66587743888576,0.7553837228302942,13.937215732175364,23.084234031069204,27.707552727902744
43,60.32855044939706,0.568608029066431,17.505657745294766,19.086225833223004,26.62532585018893
44,110.04270292597029,0.8052868362385346,14.6861019804389,21.17773922994784,24.09588636084614
45,1.7623446015943613,0.5559364639934693,25.67456417328979,20.105720243067413,25.376147631855503
46,109.23214168208783,1.1104292179964417,14.617839629923726,22.03585238900017,26.570628692339913
47,90.80605490817366,1.0608847554267926,15.589505421272975,22.291490810102818,26.744858560274462
48,29.426059023631424,0.8557170661474682,30.276618040528856,20.962654145982256,27.25698265181105
49,181.16359273925033,0.626410324672596,38.40138255822192,20.805347895844072,24.79426474077533
