infiltration_base,occupant_density,heating_setpoint,error
0.9742756945800148,36.885314971620346,23.289728088113783,67.8219816575085
1.1778013910273004,32.47127393571945,20.921908536463498,64.79480378399485
0.7380276852355778,21.134259546348865,20.363281472900567,75.70452696289507
0.88213209385708,36.24337457550987,21.399885861875287,67.02554361217294
0.8142278368806639,36.72157527074755,20.686980802086342,25.303953773110532
0.7233373935544194,36.80521286336956,20.639143947848087,94.82933481557399
0.8027121999401694,28.125916280935193,20.980181713282818,35.135676780046175
0.8271085343619806,20.0,23.2730790405331,20.27110535790204
0.5,21.255821399534188,23.380293795072298,96.18097263924099
0.8266207486308794,31.57252491873846,21.222664401046217,40.183310556713046
1.3,35.36595000773816,23.930995224057355,4.0299316512544365
1.3,33.54478610436591,23.7003065460126,46.61585855891672
1.2683286256932638,34.319274953857494,20.540160612036324,71.87345770050348
1.077780963204177,25.162788611158277,23.21880861881629,48.57752340731041
0.8452783088924406,21.39362595393483,19.40930129985642,53.07006707899649
0.6119159422989782,38.890798944159044,19.35994616682699,54.749629670176525
0.7837745976463977,35.11068503466882,23.735175362272017,29.559192631718712
1.0353534800845725,39.59389046857018,19.342150722584417,58.89254136598999
0.8070778350040062,20.0,24.0,67.29683579160687
1.3,40.0,24.0,91.65762903964661
