scenario_index,ogc_fid,param_name,param_value,param_min,param_max,picking_method
0,4136730,occupant_density_m2_per_person,194.7792406365357,127.0,233.0,random_uniform
0,4136730,liters_per_person_per_day,45.0,145.0,145.0,random_uniform
0,4136730,default_tank_volume_liters,252.5010755222667,250.0,350.0,random_uniform
0,4136730,default_heater_capacity_w,4275.029318369119,4000.0,5000.0,random_uniform
0,4136730,setpoint_c,58.446421476297644,58.0,60.0,random_uniform
0,4136730,usage_split_factor,0.6472942428328025,0.5,0.7,random_uniform
0,4136730,peak_hours,2.676699487422911,2.0,3.0,random_uniform
0,4136730,sched_morning,0.7784359135409691,0.6,0.8,random_uniform
0,4136730,sched_peak,0.9173877665258833,0.9,1.1,random_uniform
0,4136730,sched_afternoon,0.24219218196852704,0.2,0.3,random_uniform
0,4136730,sched_evening,0.6119188877752281,0.6,1.0,random_uniform
0,4136730,dhw_occupant_count,1,,,random_uniform
0,4136730,dhw_daily_liters,45.0,,,random_uniform
0,4136730,dhw_peak_flow_m3s,2.7459390168016543e-06,,,random_uniform
0,4136730,dhw_tank_volume_m3,0.2775029318369119,,,random_uniform
0,4136730,dhw_heater_capacity_w,4223.210738148823,,,random_uniform
0,4136730,dhw_fraction_schedule,MyDHW_0_UseFraction,,,random_uniform
0,4136730,dhw_setpoint_schedule,MyDHW_0_Setpoint,,,random_uniform
0,4136730,dhw_waterheater_object_name,MyDHW_0_WaterHeater,,,random_uniform
0,4136730,dhw_heater_fuel_type,Electricity,,,random_uniform
0,4136730,dhw_heater_thermal_eff,0.9,,,random_uniform
0,4136730,dhw_waterheater.obj_type,WATERHEATER:MIXED,,,random_uniform
0,4136730,dhw_waterheater.Name,MyDHW_0_WaterHeater,,,random_uniform
0,4136730,dhw_waterheater.Tank_Volume,0.2775029318369119,,,random_uniform
0,4136730,dhw_waterheater.Setpoint_Temperature_Schedule_Name,MyDHW_0_Setpoint,,,random_uniform
0,4136730,dhw_waterheater.Heater_Maximum_Capacity,4223.210738148823,,,random_uniform
0,4136730,dhw_waterheater.Heater_Fuel_Type,Electricity,,,random_uniform
0,4136730,dhw_waterheater.Heater_Thermal_Efficiency,0.9,,,random_uniform
0,4136730,dhw_waterheater.Use_Flow_Rate_Fraction_Schedule_Name,MyDHW_0_UseFraction,,,random_uniform
1,4136730,occupant_density_m2_per_person,150.17562532918197,127.0,233.0,random_uniform
1,4136730,liters_per_person_per_day,45.0,145.0,145.0,random_uniform
1,4136730,default_tank_volume_liters,300.53552881033625,250.0,350.0,random_uniform
1,4136730,default_heater_capacity_w,4026.5359696838636,4000.0,5000.0,random_uniform
1,4136730,setpoint_c,58.3976753013733,58.0,60.0,random_uniform
1,4136730,usage_split_factor,0.6299768875559046,0.5,0.7,random_uniform
1,4136730,peak_hours,2.5449414806032165,2.0,3.0,random_uniform
1,4136730,sched_morning,0.6440881244081393,0.6,0.8,random_uniform
1,4136730,sched_peak,1.0178531367751817,0.9,1.1,random_uniform
1,4136730,sched_afternoon,0.28094304566778266,0.2,0.3,random_uniform
1,4136730,sched_evening,0.6025995038712244,0.6,1.0,random_uniform
1,4136730,dhw_occupant_count,1,,,random_uniform
1,4136730,dhw_daily_liters,45.0,,,random_uniform
1,4136730,dhw_peak_flow_m3s,2.7459390168016543e-06,,,random_uniform
1,4136730,dhw_tank_volume_m3,0.2775029318369119,,,random_uniform
1,4136730,dhw_heater_capacity_w,4223.210738148823,,,random_uniform
1,4136730,dhw_fraction_schedule,MyDHW_0_UseFraction,,,random_uniform
1,4136730,dhw_setpoint_schedule,MyDHW_0_Setpoint,,,random_uniform
1,4136730,dhw_waterheater_object_name,MyDHW_0_WaterHeater,,,random_uniform
1,4136730,dhw_heater_fuel_type,Electricity,,,random_uniform
1,4136730,dhw_heater_thermal_eff,0.9,,,random_uniform
1,4136730,dhw_waterheater.obj_type,WATERHEATER:MIXED,,,random_uniform
1,4136730,dhw_waterheater.Name,MyDHW_0_WaterHeater,,,random_uniform
1,4136730,dhw_waterheater.Tank_Volume,0.2775029318369119,,,random_uniform
1,4136730,dhw_waterheater.Setpoint_Temperature_Schedule_Name,MyDHW_0_Setpoint,,,random_uniform
1,4136730,dhw_waterheater.Heater_Maximum_Capacity,4223.210738148823,,,random_uniform
1,4136730,dhw_waterheater.Heater_Fuel_Type,Electricity,,,random_uniform
1,4136730,dhw_waterheater.Heater_Thermal_Efficiency,0.9,,,random_uniform
1,4136730,dhw_waterheater.Use_Flow_Rate_Fraction_Schedule_Name,MyDHW_0_UseFraction,,,random_uniform
2,4136730,occupant_density_m2_per_person,212.41684069427765,127.0,233.0,random_uniform
2,4136730,liters_per_person_per_day,45.0,145.0,145.0,random_uniform
2,4136730,default_tank_volume_liters,319.8139394988227,250.0,350.0,random_uniform
2,4136730,default_heater_capacity_w,4340.250516517992,4000.0,5000.0,random_uniform
2,4136730,setpoint_c,58.310958999623566,58.0,60.0,random_uniform
2,4136730,usage_split_factor,0.6914426144413561,0.5,0.7,random_uniform
2,4136730,peak_hours,2.336594545112627,2.0,3.0,random_uniform
