scenario_index,ogc_fid,sub_key,eplus_object_type,eplus_object_name,param_name,param_value,param_min,param_max,picking_method
0,4136730,roughness,,,roughness,MediumRough,,,random_uniform
0,4136730,wwr_range_used,,,wwr_range_used,"(0.025, 0.03)",,,random_uniform
0,4136730,wwr,,,wwr,0.22,,,random_uniform
0,4136730,top_opq,MATERIAL:NOMASS,Insulated_Roof_R5,Roughness,MediumRough,,,random_uniform
0,4136730,top_opq,MATERIAL:NOMASS,Insulated_Roof_R5,Thermal_Resistance,4.639426798457884,4.0,5.0,random_uniform
0,4136730,top_opq,MATERIAL:NOMASS,Insulated_Roof_R5,Thermal_Absorptance,0.9,0.9,0.9,random_uniform
0,4136730,top_opq,MATERIAL:NOMASS,Insulated_Roof_R5,Solar_Absorptance,0.7,0.7,0.7,random_uniform
0,4136730,top_opq,MATERIAL:NOMASS,Insulated_Roof_R5,Visible_Absorptance,0.7,0.7,0.7,random_uniform
0,4136730,top_win,WINDOWMATERIAL:GLAZING,Glazing_Clear_3mm,Optical_Data_Type,SpectralAverage,,,random_uniform
0,4136730,top_win,WINDOWMATERIAL:GLAZING,Glazing_Clear_3mm,Thickness,0.003,0.003,0.003,random_uniform
0,4136730,top_win,WINDOWMATERIAL:GLAZING,Glazing_Clear_3mm,Solar_Transmittance,0.7735339897484582,0.76,0.78,random_uniform
0,4136730,top_win,WINDOWMATERIAL:GLAZING,Glazing_Clear_3mm,Front_Solar_Reflectance,0.07892179567704846,0.07,0.08,random_uniform
0,4136730,top_win,WINDOWMATERIAL:GLAZING,Glazing_Clear_3mm,Back_Solar_Reflectance,0.07086938832629416,0.07,0.08,random_uniform
0,4136730,top_win,WINDOWMATERIAL:GLAZING,Glazing_Clear_3mm,Visible_Transmittance,0.8684384363937054,0.86,0.88,random_uniform
0,4136730,top_win,WINDOWMATERIAL:GLAZING,Glazing_Clear_3mm,Front_Visible_Reflectance,0.060297972194380704,0.06,0.07,random_uniform
0,4136730,top_win,WINDOWMATERIAL:GLAZING,Glazing_Clear_3mm,Back_Visible_Reflectance,0.062186379748036036,0.06,0.07,random_uniform
0,4136730,top_win,WINDOWMATERIAL:GLAZING,Glazing_Clear_3mm,IR_Transmittance,0.0,,,random_uniform
0,4136730,top_win,WINDOWMATERIAL:GLAZING,Glazing_Clear_3mm,Front_IR_Emissivity,0.84,0.84,0.84,random_uniform
0,4136730,top_win,WINDOWMATERIAL:GLAZING,Glazing_Clear_3mm,Back_IR_Emissivity,0.84,0.84,0.84,random_uniform
0,4136730,top_win,WINDOWMATERIAL:GLAZING,Glazing_Clear_3mm,Conductivity,0.9698837650686648,0.95,1.05,random_uniform
0,4136730,top_win,WINDOWMATERIAL:GLAZING,Glazing_Clear_3mm,Dirt_Correction_Factor,1.0,1.0,1.0,random_uniform
0,4136730,top_win,WINDOWMATERIAL:GLAZING,Glazing_Clear_3mm,Solar_Diffusing,No,,,random_uniform
0,4136730,ground_floor_R_value,,,ground_floor_R_value,2.5,,,random_uniform
0,4136730,ground_floor_R_value_range_used,,,ground_floor_R_value_range_used,"(2.5, 2.5)",,,random_uniform
0,4136730,ground_floor_U_value,,,ground_floor_U_value,0.36,,,random_uniform
0,4136730,ground_floor_U_value_range_used,,,ground_floor_U_value_range_used,"(0.36, 0.36)",,,random_uniform
0,4136730,ground_floor_area_m2,,,ground_floor_area_m2,68.95,,,random_uniform
0,4136730,ground_floor_opq,MATERIAL,DoorPanel_Range,Roughness,MediumRough,,,random_uniform
0,4136730,ground_floor_opq,MATERIAL,DoorPanel_Range,Thickness,0.19994356286635384,0.14,0.25,random_uniform
0,4136730,ground_floor_opq,MATERIAL,DoorPanel_Range,Conductivity,1.466132186612209,1.4,1.7,random_uniform
0,4136730,ground_floor_opq,MATERIAL,DoorPanel_Range,Density,658.9265683875909,600.0,700.0,random_uniform
0,4136730,ground_floor_opq,MATERIAL,DoorPanel_Range,Specific_Heat,2361.886091335565,2200.0,2400.0,random_uniform
0,4136730,ground_floor_opq,MATERIAL,DoorPanel_Range,Thermal_Absorptance,0.9,0.9,0.9,random_uniform
0,4136730,ground_floor_opq,MATERIAL,DoorPanel_Range,Solar_Absorptance,0.7,0.7,0.7,random_uniform
0,4136730,ground_floor_opq,MATERIAL,DoorPanel_Range,Visible_Absorptance,0.7,0.7,0.7,random_uniform
0,4136730,ground_floor_win,WINDOWMATERIAL:GLAZING,Glazing_Clear_3mm,Optical_Data_Type,SpectralAverage,,,random_uniform
0,4136730,ground_floor_win,WINDOWMATERIAL:GLAZING,Glazing_Clear_3mm,Thickness,0.003,0.003,0.003,random_uniform
0,4136730,ground_floor_win,WINDOWMATERIAL:GLAZING,Glazing_Clear_3mm,Solar_Transmittance,0.7631095899962357,0.76,0.78,random_uniform
0,4136730,ground_floor_win,WINDOWMATERIAL:GLAZING,Glazing_Clear_3mm,Front_Solar_Reflectance,0.07957213072206781,0.07,0.08,random_uniform
0,4136730,ground_floor_win,WINDOWMATERIAL:GLAZING,Glazing_Clear_3mm,Back_Solar_Reflectance,0.07336594545112628,0.07,0.08,random_uniform
0,4136730,ground_floor_win,WINDOWMATERIAL:GLAZING,Glazing_Clear_3mm,Visible_Transmittance,0.861854916867603,0.86,0.88,random_uniform
0,4136730,ground_floor_win,WINDOWMATERIAL:GLAZING,Glazing_Clear_3mm,Front_Visible_Reflectance,0.06096716376833464,0.06,0.07,random_uniform
0,4136730,ground_floor_win,WINDOWMATERIAL:GLAZING,Glazing_Clear_3mm,Back_Visible_Reflectance,0.0684749436634746,0.06,0.07,random_uniform
