Date/Time,Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),Electricity:Facility [J](Hourly) 
 01/01  01:00:00,3488869.9463480385,0.0,4566240.878071144 
 01/01  02:00:00,3861041.374057121,0.0,4566240.878071144 
 01/01  03:00:00,4191126.362426427,0.0,4566240.878071144 
 01/01  04:00:00,4553247.499913739,0.0,7220699.114133755 
 01/01  05:00:00,4871088.367115709,0.0,4566240.878071144 
 01/01  06:00:00,5188502.834530571,0.0,4566240.878071144 
 01/01  07:00:00,5415863.878508008,0.0,7767822.485814117 
 01/01  08:00:00,30533486.616152626,0.0,7767176.781317075 
 01/01  09:00:00,26218183.451468676,0.0,11840162.197258614 
 01/01  10:00:00,23560975.25069152,0.0,8202949.20348654 
 01/01  11:00:00,21641445.945387974,0.0,7375654.870340777 
 01/01  12:00:00,20451904.49660652,0.0,4566240.878071144 
 01/01  13:00:00,19723410.601375222,0.0,7375717.3733161185 
 01/01  14:00:00,19255301.44623564,0.0,4566240.878071144 
 01/01  15:00:00,18590347.65759664,0.0,7375741.158512669 
 01/01  16:00:00,18760634.64952623,0.0,7375764.907205295 
 01/01  17:00:00,20123150.09710925,0.0,4566240.878071144 
 01/01  18:00:00,20190940.697556373,0.0,7843937.132860399 
 01/01  19:00:00,19782728.501424834,0.0,8781010.000595238 
 01/01  20:00:00,331525.72817084176,0.0,10180946.004481532 
 01/01  21:00:00,1947838.6364270477,0.0,7845781.47116727 
 01/01  22:00:00,2610032.6647938993,0.0,7767665.277511345 
 01/01  23:00:00,3014390.3284756313,0.0,7767982.560624605 
 01/01  24:00:00,3156051.5821789214,0.0,7767211.596572567 
 01/02  01:00:00,3942690.8015231364,0.0,4566240.878071144 
 01/02  02:00:00,4383427.832326341,0.0,7220901.411440032 
 01/02  03:00:00,4594771.526549605,0.0,4566240.878071144 
 01/02  04:00:00,5023858.448584054,0.0,4566240.878071144 
 01/02  05:00:00,5134974.919255783,0.0,4566240.878071144 
 01/02  06:00:00,5233461.7972378945,0.0,7220479.448025311 
 01/02  07:00:00,5386146.301849076,0.0,7767470.094071257 
 01/02  08:00:00,30042745.37088592,0.0,7768061.945067976 
 01/02  09:00:00,25156353.907092605,0.0,8203086.5802777 
 01/02  10:00:00,22345289.680694457,0.0,11840043.423359653 
 01/02  11:00:00,20011294.26028727,0.0,4566240.878071144 
 01/02  12:00:00,18532420.400388263,0.0,7375343.744810908 
 01/02  13:00:00,17119462.069112204,0.0,4566240.878071144 
 01/02  14:00:00,14962217.460837558,0.0,7375518.060721619 
 01/02  15:00:00,12414365.23740846,0.0,7375702.273383185 
 01/02  16:00:00,12950250.491568035,0.0,4566240.878071144 
 01/02  17:00:00,15631988.657673886,0.0,7375726.0817674305 
 01/02  18:00:00,16508434.490960006,0.0,7844188.0936226975 
 01/02  19:00:00,17013781.337542143,0.0,7843478.452074323 
 01/02  20:00:00,22976.31196207568,0.0,7843282.6643712735 
 01/02  21:00:00,763485.4041808778,0.0,7862538.891964898 
 01/02  22:00:00,1696301.3265207065,0.0,9173996.116167217 
 01/02  23:00:00,2399402.444163396,0.0,9173642.73820959 
 01/02  24:00:00,2999646.858501756,0.0,8138722.312008305 
 01/03  01:00:00,3342218.987561066,0.0,4566240.878071144 
 01/03  02:00:00,3628674.8954168144,0.0,4566240.878071144 
 01/03  03:00:00,3791946.249592825,0.0,4566240.878071144 
 01/03  04:00:00,4115703.0727357655,0.0,7220380.54892491 
 01/03  05:00:00,4377479.847010934,0.0,4566240.878071144 
 01/03  06:00:00,4770280.861803858,0.0,4566240.878071144 
 01/03  07:00:00,5298131.2316743415,0.0,7767248.055022609 
 01/03  08:00:00,30619344.620695252,21454.117077887102,7766958.248588724 
 01/03  09:00:00,25833922.446581014,0.0,11840022.495509885 
 01/03  10:00:00,22816687.975315206,0.0,8202493.566106837 
 01/03  11:00:00,20050967.61121554,0.0,7375291.220570305 
