Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Daily),Environment:Site Outdoor Air Dewpoint Temperature [C](Daily),Environment:Site Outdoor Air Wetbulb Temperature [C](Daily),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Daily),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Daily),Environment:Site Solar Azimuth Angle [deg](Daily),Environment:Site Solar Altitude Angle [deg](Daily),MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),Electricity:Facility [J](Hourly) 
 01/01  01:00:00,,,,,,,,,3079022.3190845205,0.0,1712339.9184327582 
 01/01  02:00:00,,,,,,,,,3274234.2898411085,0.0,1712339.9184327582 
 01/01  03:00:00,,,,,,,,,3466897.681328824,0.0,1712339.9184327582 
 01/01  04:00:00,,,,,,,,,3663792.2957205866,0.0,4366798.154495369 
 01/01  05:00:00,,,,,,,,,3827919.2068164544,0.0,1712339.9184327582 
 01/01  06:00:00,,,,,,,,,3993173.1450937223,0.0,1712339.9184327582 
 01/01  07:00:00,,,,,,,,,5033558.773418869,0.0,4614360.8506907625 
 01/01  08:00:00,,,,,,,,,15626520.4122745,0.0,4615035.190281886 
 01/01  09:00:00,,,,,,,,,14884434.656060047,0.0,4700824.655157049 
 01/01  10:00:00,,,,,,,,,12670365.924263582,0.0,3877910.3187464033 
 01/01  11:00:00,,,,,,,,,11437518.242991945,0.0,2585313.4296195526 
 01/01  12:00:00,,,,,,,,,11109196.569770608,0.0,1712339.9184327582 
 01/01  13:00:00,,,,,,,,,11053681.54961422,0.0,4441839.509949602 
 01/01  14:00:00,,,,,,,,,11188933.6628762,0.0,1712339.9184327582 
 01/01  15:00:00,,,,,,,,,11086875.357696353,0.0,4442248.122203369 
 01/01  16:00:00,,,,,,,,,11519463.01827633,0.0,1712339.9184327582 
 01/01  17:00:00,,,,,,,,,12356844.309723062,0.0,4097644.0827673655 
 01/01  18:00:00,,,,,,,,,12473662.455622122,0.0,2082877.9618492392 
 01/01  19:00:00,,,,,,,,,12321956.125180217,0.0,4645261.732843636 
 01/01  20:00:00,,,,,,,,,1651203.8570480708,0.0,4645370.256575585 
 01/01  21:00:00,,,,,,,,,3275583.1680287737,0.0,4645708.127715416 
 01/01  22:00:00,,,,,,,,,3513320.0511230472,0.0,1712339.9184327582 
 01/01  23:00:00,,,,,,,,,2842104.010110677,0.0,4614629.478490242 
 01/01  24:00:00,2.891666666666666,-0.03749999999999998,1.854739388525906,17.307291666666668,26.854166666666668,171.9210012821981,-20.325946072972584,33574881.93369892,2958861.273009129,0.0,4614701.27588248 
 01/02  01:00:00,,,,,,,,,3437239.6200315487,0.0,1712339.9184327582 
 01/02  02:00:00,,,,,,,,,3672485.5356978346,0.0,1712339.9184327582 
 01/02  03:00:00,,,,,,,,,3770054.759200145,0.0,4366615.9434699705 
 01/02  04:00:00,,,,,,,,,4004884.8633484114,0.0,1712339.9184327582 
 01/02  05:00:00,,,,,,,,,4008989.89904456,0.0,1712339.9184327582 
 01/02  06:00:00,,,,,,,,,4025147.0725558503,0.0,1712339.9184327582 
 01/02  07:00:00,,,,,,,,,4966177.455195219,0.0,4614989.542284997 
 01/02  08:00:00,,,,,,,,,15291668.74071995,0.0,4614311.171420363 
 01/02  09:00:00,,,,,,,,,14168974.559496272,0.0,4781362.145050134 
 01/02  10:00:00,,,,,,,,,12234408.758793369,0.0,4780809.241873831 
 01/02  11:00:00,,,,,,,,,10399101.22135549,0.0,1712339.9184327582 
 01/02  12:00:00,,,,,,,,,8800005.477284797,0.0,4441646.804284662 
 01/02  13:00:00,,,,,,,,,7618298.283280633,0.0,1712339.9184327582 
 01/02  14:00:00,,,,,,,,,6750875.398309084,0.0,1734607.584971952 
 01/02  15:00:00,,,,,,,,,6172072.723539816,0.0,4419996.502902068 
 01/02  16:00:00,,,,,,,,,7275182.675474277,0.0,1712339.9184327582 
 01/02  17:00:00,,,,,,,,,9054591.475339876,0.0,4442212.0477334 
 01/02  18:00:00,,,,,,,,,9794558.20208411,0.0,4211818.74373972 
 01/02  19:00:00,,,,,,,,,10350638.675263206,0.0,2146044.7376111504 
 01/02  20:00:00,,,,,,,,,899596.8495236394,0.0,4644995.061462305 
 01/02  21:00:00,,,,,,,,,2478550.7698316043,0.0,4645329.826399099 
 01/02  22:00:00,,,,,,,,,2894172.8223120105,0.0,4614983.082759162 
 01/02  23:00:00,,,,,,,,,2313737.86159135,0.0,1712339.9184327582 
 01/02  24:00:00,3.686458333333334,0.859375,2.7411140405471186,16.630208333333332,62.854166666666664,171.8131188905313,-20.25473323294449,33650042.56092032,2667321.1112804753,0.0,4614312.51932891 
 01/03  01:00:00,,,,,,,,,2914598.205759381,0.0,1712339.9184327582 
 01/03  02:00:00,,,,,,,,,3110619.2149283364,0.0,4367005.263096872 
 01/03  03:00:00,,,,,,,,,3219917.8564118,0.0,1712339.9184327582 
 01/03  04:00:00,,,,,,,,,3431864.8635261008,0.0,1712339.9184327582 
 01/03  05:00:00,,,,,,,,,3568473.6231236835,0.0,1712339.9184327582 
 01/03  06:00:00,,,,,,,,,3789799.805374106,0.0,4366528.408920664 
 01/03  07:00:00,,,,,,,,,5235204.933235638,0.0,2047305.5217669779 
 01/03  08:00:00,,,,,,,,,15474866.128160901,0.0,4278982.514212367 
 01/03  09:00:00,,,,,,,,,14615327.947060682,0.0,4781534.242515248 
 01/03  10:00:00,,,,,,,,,11458498.797363766,0.0,4781387.565738223 
